,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,Avg_june10days,maytojune
19,ASSAM,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,2999.2,63.5,817.2,1889.9,228.6,0,177.3666667,145.7
20,ASSAM,13.1,21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,0,139.9,99.7
21,ASSAM,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,2575.3,33.1,647.5,1710.1,184.6,0,189.2666667,168
22,ASSAM,12,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,0,121.8333333,72.1
23,ASSAM,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,2859.3,76.3,574.1,2025.2,183.7,0,176.1,196.4
24,ASSAM,16.7,47.5,158.9,207.9,308,328.1,270.3,201.3,189.1,196.4,42.1,11.2,1977.5,64.2,674.8,988.8,249.7,1,109.3666667,20.1
25,ASSAM,12,22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120,21.6,10.8,1660.1,34.5,348.3,1124.9,152.4,0,95.3,114.6
26,ASSAM,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,1811.6,53.3,461.9,1169.5,126.9,0,85.16666667,1.6
27,ASSAM,10.3,26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441,175.2,1,231.4333333,302.8
28,ASSAM,10.3,11.7,46.6,147.5,391.6,603,554.7,418.7,340.1,155.1,19.2,4.1,2702.6,22,585.7,1916.5,178.4,0,201,211.4
29,ASSAM,30.6,53.1,119.8,229.9,292.4,401,519.4,405.1,325.9,136.9,24,18.5,2556.6,83.7,642.1,1651.4,179.4,0,133.6666667,108.6
30,ASSAM,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,2083,58.9,562.1,1299.1,162.9,0,96.26666667,11.4
31,ASSAM,13.2,35.2,169.7,340.4,604,645.2,646,438,418.7,240.4,86.8,13.2,3650.8,48.4,1114.1,2147.9,340.4,0,215.0666667,41.2
32,ASSAM,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,3772.2,38.8,723.3,2826.4,183.7,1,274.0666667,361.1
33,ASSAM,19.4,23.1,50,144.3,284.1,363.1,384.2,337.9,229.2,109.7,20.9,12.6,1978.5,42.5,478.4,1314.4,143.2,0,121.0333333,79
34,ASSAM,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,1680.7,46.4,446.7,1049.6,138,1,84.73333333,8.6
35,ASSAM,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2,327,118.7,25.1,18.9,2485.3,85,619.8,1617.8,162.7,0,129.4333333,115.6
36,ASSAM,7.3,42,123.8,239,416.2,470.4,426.8,406.9,317,150.6,36.5,9.1,2645.6,49.3,779,1621.1,196.2,0,156.8,54.2
37,ASSAM,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,2859.3,76.3,574.1,2025.2,183.7,1,176.1,196.4
38,ASSAM,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,1341,36.9,299.5,867,137.6,1,74.96666667,85.5
39,ASSAM,13.1,21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9,0,139.9,99.7
40,ASSAM,12,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2,1,121.8333333,72.1
41,ASSAM,10,31.2,57.5,183.4,442,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,0,208.7666667,184.3
42,ASSAM,10.3,26.9,54,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,3274.6,37.2,621.2,2441,175.2,1,231.4333333,302.8
43,ASSAM,10,31.2,57.5,183.4,442,626.3,776.6,486.8,406.4,168.2,18.7,11.6,3218.7,41.2,682.9,2296.1,198.5,1,208.7666667,184.3
44,ASSAM,18.7,24.4,51.6,116.8,169.1,310.1,374.8,309.2,221.4,119.3,19.9,8.2,1743.5,43.1,337.5,1215.5,147.4,1,103.3666667,141
45,ASSAM,14.9,18.6,56.7,184.6,380.7,551.2,470.9,322,220.2,110.4,21.6,4.8,2356.6,33.5,622,1564.3,136.8,1,183.7333333,170.5
46,MEGHALAYA,15.4,24.1,129.7,312.5,733.7,1476.2,1518.4,1019.4,607.8,277.9,40.3,10.7,6166.1,39.5,1175.9,4621.8,328.9,1,492.0666667,742.5
47,MEGHALAYA,33.8,44.1,115.1,282.3,598.8,1316.1,1591.3,933.8,826.3,517.7,110.9,9.7,6379.9,77.9,996.2,4667.5,638.3,1,438.7,717.3
48,MEGHALAYA,5.6,16,64,244.4,352.2,531.1,465.8,358.9,315.7,154.1,35.8,10.8,2554.4,21.6,660.6,1671.5,200.7,1,177.0333333,178.9
49,MEGHALAYA,16.2,15.1,55.8,117.1,273.3,340.5,425.6,400.2,313.2,125.4,25.7,8.8,2116.9,31.3,446.2,1479.5,159.9,1,113.5,67.2
50,MEGHALAYA,6.8,10.7,48.7,180.9,350,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2,1,164.2,142.6
51,MEGHALAYA,19.7,31.1,61.3,160.5,352.3,651.5,1050.3,607.9,465.3,192.5,32.1,18.5,3643,50.8,574.1,2775,243.1,1,217.1666667,299.2
52,MEGHALAYA,6.8,10.7,48.7,180.9,350,492.6,476.4,385.2,327.3,155.7,16.1,9.4,2459.8,17.5,579.6,1681.5,181.2,1,164.2,142.6
53,MANIPUR,13.5,34.3,84.5,145.5,208.9,370.7,324,280.4,189.1,144,36.1,8.2,1839.2,47.8,438.9,1164.2,188.3,1,123.5666667,161.8
54,MANIPUR,13.3,29.9,47.5,124.7,198.4,368.2,366.1,326.6,220.1,156,57,14.8,1922.6,43.2,370.6,1281,227.8,1,122.7333333,169.8
55,MANIPUR,48.5,229.6,224.5,431.5,539.9,1158.7,1820.9,1522.1,726.3,376.1,144,7.2,7229.3,278.1,1195.9,5228,527.3,1,386.2333333,618.8
56,MANIPUR,8.5,27.9,36.3,77.9,179,609.9,540.3,490.9,366,254.9,48.3,7.6,2647.5,36.4,293.2,2007.1,310.8,1,203.3,430.9
57,MANIPUR,14.5,36.1,56.9,76.6,122.2,348.3,296.8,243.3,169.1,122.7,49.4,13.1,1549,50.6,255.7,1057.5,185.2,1,116.1,226.1
58,MANIPUR,15.3,26.2,43.1,96.2,140.1,333,181.7,212.1,106.8,94.6,27.9,9.3,1286.3,41.5,279.4,833.6,131.8,1,111,192.9
59,MANIPUR,54.5,50,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237,56.9,15,2127.5,104.5,379.8,1334.3,308.9,1,145.2,276.3
60,MANIPUR,22.3,31,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,1530.9,53.3,307.5,971.8,198.3,1,112.4333333,202.7
61,MANIPUR,13,31.1,72.7,187.3,238,422.1,407.6,382.6,348.3,173.2,50.1,11.4,2337.4,44.1,498,1560.6,234.7,1,140.7,184.1
